program,semester,course,type,credits,hours,source_pdf
ai,1,UNIX/Linux системы,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Автоматическое машинное обучение,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Алгоритмы и структуры данных,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Английский язык A1 / English A1,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Английский язык A2 / English A2,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Английский язык в профессиональной деятельности / English for specific purposes,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Базы данных,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Бизнес-аналитика для инженеров,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Введение в МО (Python) и Продвинутое МО (Python),электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Введение в большие языковые модели (LLM),,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Воркшоп по созданию продукта на данных / Data Product Development Workshop,обязательная,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Выступления для молодых ученых,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Вычисления на графических процессорах (GPU),,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Графические интерфейсы,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Доказательный подход к управлению карьерой / Evidence-based approach to career management,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Дополнительные разделы машинного обучения,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Инженерные практики в ML и анализе данных,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Инжиниринг управления данными,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Иностранный язык / Foreign Language,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Инструменты принятия решений / Art & math of decision making,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Инструменты разработки data-driven решений,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Карьера в IT,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Контейнеризация и оркестрация приложений,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Математика для машинного обучения и анализа данных,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Математическая статистика,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Медиация и урегулирование разногласий / Mediation and dispute resolutio,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Межкультурная коммуникация,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Обработка и генерация изображений,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Основы глубокого обучения,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Основы концептуального мышления,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Основы концептуального мышления / Introduction to Conceptual Thinking,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Основы машинного обучения,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Основы публичных выступлений,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Основы финансовой грамотности,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Планирование и изменение карьерной траектории / Launching and relaunching your career,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Практика применения машинного обучения,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Практики совместной работы и принятия решений,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Прикладной анализ временных рядов,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Программирование на С++,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Продвинутое МО (Python) и Глубокое обучение,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Продуктовые исследования,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Проектирование и разработка рекомендательных систем (продвинутый уровень),,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Проектирование микросервисов,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Проектирование систем машинного обучения (ML System Design),,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Проектная практика,,12.0,432,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Процессы и методологии разработки решений на основе ИИ,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Публичные выступления в онлайн-формате,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Публичные выступления в профессиональной деятельности / Pitches and speeches,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Работа в удаленных командах,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Развитие карьеры в современной профессиональной среде,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Разработка веб-приложений (Python Backend),,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Регуляция эмоционального состояния в профессиональной деятельности,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Русский язык как иностранный / Russian as a foreign language,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Самопрезентация и питчинг,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Сложная коммуникация,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Современная бизнес-коммуникация,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Современное лидерство,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Создание интеллектуальных агентов,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Сторителлинг,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Стратегии эффективных переговоров с работодателем,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Тайм-менеджмент,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Техники ответов на вопросы в публичных выступлениях,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Технологии обработки естественного языка,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Управление конфликтами,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Управление мотивацией,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Управление стрессом / Stress management,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Управление стрессом и профилактика выгорания,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Хранение больших данных и Введение в МО (Python),электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Целеполагание в современном мире,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Элективные микромодули Soft Skills,soft,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Эмпатия и ненасильственное общение / Empathy and non-violent communication,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,1,Языки программирования,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,DevOps практики и инструменты,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,А/В тестирование,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Автоматическая обработка текстов и Обработка изображений,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Автоматическая обработка текстов и Социальные сети,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Английский язык A1 / English A1,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Английский язык A2 / English A2,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Английский язык в профессиональной деятельности / English for specific purposes,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Безопасность ИИ,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Бизнес-анализ,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Воркшоп по прикладному использованию языковых и генеративных моделей,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Выступления для молодых ученых,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Глубокие генеративные модели (Deep Generative Models),,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Глубокое обучение на практике,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Доказательный подход к управлению карьерой / Evidence-based approach to career management,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Дополнительные разделы математики и алгоритмов,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Задачи машинного обучения,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Инженерия данных,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Иностранный язык / Foreign Language,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Инструменты принятия решений / Art & math of decision making,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Интеллектуальные агенты и большие языковые модели,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Информационный поиск,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Карьера в IT,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Компьютерное зрение (продвинутый уровень),,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Машинное обучение,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Медиация и урегулирование разногласий / Mediation and dispute resolutio,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Межкультурная коммуникация,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Методология трансляционных исследований,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Научно-исследовательская практика,,12.0,432,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Нейросети в химии / Neural Networks in Chemistry,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Обработка естественного языка,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Обработка изображений и Компьютерное зрение,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Обучение с подкреплением,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Основы построения рекомендательных систем,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Основы публичных выступлений,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Основы финансовой грамотности,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Планирование и изменение карьерной траектории / Launching and relaunching your career,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Практика по выбору,,12.0,432,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Практики менторства и развития в Data Science,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Практики совместной работы и принятия решений,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Прикладная математика и статистика / Applied Math and Statistics,электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Программирование на Python (продвинутый уровень),электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Продвинутое МО (Python) и Автоматическая обработка текстов,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Продвинутое МО (Python) и Обработка изображений,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Продуктовый дизайн и прототипирование AI-решений,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Проектирование систем машинного обучения (ML System Design),электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Проектная практика,,12.0,432,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Публичные выступления в онлайн-формате,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Публичные выступления в профессиональной деятельности / Pitches and speeches,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Работа в удаленных командах,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Развитие карьеры в современной профессиональной среде,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Разработка приложений разговорного искусственного интеллекта,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Распознавание и генерация речи,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Русский язык как иностранный / Russian as a foreign language,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Самопрезентация и питчинг,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Сбор и разметка данных для машинного обучения,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Системы обработки и анализа больших массивов данных,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Сложная коммуникация,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Современная бизнес-коммуникация,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Современное лидерство,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Специальные главы биоинформатики,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Специальные главы геномики,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Сторителлинг,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Стратегии эффективных переговоров с работодателем,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Тайм-менеджмент,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Техники ответов на вопросы в публичных выступлениях,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Технологии и практики MLOps,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Технологии компьютерного зрения,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Технологии обработки естественного языка,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Управление данными,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Управление конфликтами,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Управление мотивацией,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Управление проектами в Data Science,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Управление стрессом / Stress management,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Управление стрессом и профилактика выгорания,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Управление технологическим продуктом,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Целеполагание в современном мире,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Элективные микромодули Soft Skills,soft,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Эмпатия и ненасильственное общение / Empathy and non-violent communication,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,2,Языки программирования для работы с данными,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Critical Thinking Skills (Advanced),,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,UNIX/Linux системы,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Автоматическое машинное обучение,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Алгоритмы и структуры данных,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Базы данных,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Бизнес-аналитика,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Введение в МО (Python) и Продвинутое МО (Python),электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Введение в большие языковые модели (LLM),электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Воркшоп по применению ИИ,электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Выступления для молодых ученых,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Вычисления на графических процессорах (GPU),электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Глубокое обучение,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Графические интерфейсы,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Доказательный подход к управлению карьерой / Evidence-based approach to career management,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Инжиниринг управления данными,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Иностранный язык в профессиональной деятельности / Foreign Language for Professional activity,,4.0,144,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Инструменты принятия решений / Art & math of decision making,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Инструменты разработки data-driven решений,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,История и философия науки,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Карьера в IT,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Контейнеризация и оркестрация приложений,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Критическое мышление (продвинутый уровень),,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Мастерская по проектам для работы с данными,электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Математическая статистика,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Медиация и урегулирование разногласий / Mediation and dispute resolutio,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Межкультурная коммуникация,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Мультимодальные генеративные модели искусственного интеллекта,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Обработка и генерация изображений,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Основы публичных выступлений,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Основы финансовой грамотности,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Планирование и изменение карьерной траектории / Launching and relaunching your career,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Практика по выбору,,12.0,432,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Практики совместной работы и принятия решений,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Прикладная математика для машинного обучения,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Прикладной анализ временных рядов,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Прикладные задачи машинного обучения,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Прикладные инструменты разработки,электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Программирование на С++,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Продвинутое МО (Python) и Глубокое обучение,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Продвинутое машинное обучение,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Продуктовые исследования,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Проектирование и разработка рекомендательных систем (продвинутый уровень),электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Проектирование микросервисов,электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Проектирование систем машинного обучения (ML System Design),электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Производственная проектно-технологическая практика,,12.0,432,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,"Производственная, научно-исследовательская практика",,12.0,432,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Процессы и методологии разработки решений на основе ИИ,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Публичные выступления в онлайн-формате,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Публичные выступления в профессиональной деятельности / Pitches and speeches,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Работа в удаленных командах,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Развитие карьеры в современной профессиональной среде,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Разработка веб-приложений (Python Backend),электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Самопрезентация и питчинг,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Сложная коммуникация,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Современная бизнес-коммуникация,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Современное лидерство,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Создание и развитие технологического бизнеса,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Стартап-трек: от mvp до бизнеса,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Сторителлинг,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Стратегии эффективных переговоров с работодателем,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Тайм-менеджмент,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Техники ответов на вопросы в публичных выступлениях,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Технологии обработки естественного языка,электив,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Управление конфликтами,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Управление мотивацией,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Управление стрессом / Stress management,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Управление стрессом и профилактика выгорания,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Хранение больших данных и Введение в МО (Python),электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Целеполагание в современном мире,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Элективные микромодули Soft Skills,soft,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Эмпатия и ненасильственное общение / Empathy and non-violent communication,,1.0,36,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Этика в сфере информационных технологий и искусственного интеллекта,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,3,Языки программирования. Продвинутый уровень,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,4,DevOps практики и инструменты,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,4,А/В тестирование,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,4,Автоматическая обработка текстов и Обработка изображений,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,4,Автоматическая обработка текстов и Социальные сети,электив,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,4,Безопасность ИИ,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,4,Бизнес-анализ,,3.0,108,data\raw\drive.google.com_uc.pdf_897abe6a
ai,4,Воркшоп по ML,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,4,Воркшоп по прикладному использованию языковых и генеративных моделей,,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
ai,4,Глубокие генеративные модели (Deep Generative Models),,6.0,216,data\raw\drive.google.com_uc.pdf_897abe6a
